Version,Family,Scientific name,Previously,As of the stated version,Date
2.0,Asteraceae,Centaurea × gerstlaueri,Under evaluation,Accepted (terminal),10/12/2020
2.0,Asteraceae,Centaurea × moncktonii,Accepted (terminal),Synonym of Centaurea × gerstlaueri,10/12/2020
2.0,Asteraceae,Centaurea jacea × Centaurea nigra,Under evaluation,Accepted (terminal),10/12/2020
2.0,Asteraceae,Chaenactis douglasii,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Chaenactis douglasii var. douglasii,Accepted (terminal),Synonym of Chaenactis douglasii,10/12/2020
2.0,Asteraceae,Chaenactis douglasii var. glandulosa,Accepted (terminal),Synonym of Chaenactis douglasii,10/12/2020
2.0,Asteraceae,Chaenactis suffrutescens,Under evaluation,Accepted (terminal),10/12/2020
2.0,Asteraceae,Cirsium scariosum,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Cirsium scariosum var. americanum,Accepted (terminal),Synonym of Cirsium scariosum,10/12/2020
2.0,Asteraceae,Cirsium scariosum var. scariosum,Accepted (terminal),Synonym of Cirsium scariosum,10/12/2020
2.0,Asteraceae,Cirsium scariosum var. toiyabense,Accepted (terminal),Synonym of Cirsium scariosum,10/12/2020
2.0,Asteraceae,Coreopsis tinctoria,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Coreopsis tinctoria var. atkinsoniana,Accepted (terminal),Synonym of Coreopsis tinctoria,10/12/2020
2.0,Asteraceae,Corethrogyne filaginifolia,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Corethrogyne filaginifolia var. californica,Accepted (terminal),Synonym of Corethrogyne filaginifolia,10/12/2020
2.0,Asteraceae,Cota tinctoria,Synonym of Anthemis tinctoria,Accepted (terminal),10/12/2020
2.0,Asteraceae,Erechtites glomeratus,Synonym of Senecio glomeratus,Accepted (terminal),10/12/2020
2.0,Asteraceae,Erechtites minimus,Synonym of Senecio minimus,Accepted (terminal),10/12/2020
2.0,Asteraceae,Erigeron compositus,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Erigeron compositus var. compositus,Accepted (terminal),Synonym of Erigeron compositus,10/12/2020
2.0,Asteraceae,Erigeron compositus var. glabratus,Accepted (terminal),Synonym of Erigeron compositus,10/12/2020
2.0,Asteraceae,Erigeron davisii,Accepted (terminal),Synonym of Erigeron disparipilus,10/12/2020
2.0,Asteraceae,Erigeron divergens,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Erigeron divergens var. divergens,Accepted (terminal),Synonym of Erigeron divergens,10/12/2020
2.0,Asteraceae,Erigeron karvinskianus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Asteraceae,Erigeron strigosus var. septentrionalis,Accepted (terminal),Synonym of Erigeron strigosus var. strigosus,10/12/2020
2.0,Asteraceae,Eucephalus ledophyllus,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Asteraceae,Eucephalus ledophyllus var. covillei,Synonym of Eucephalus ledophyllus,Accepted (terminal),10/12/2020
2.0,Asteraceae,Eucephalus ledophyllus var. ledophyllus,Synonym of Eucephalus ledophyllus,Accepted (terminal),10/12/2020
2.0,Asteraceae,Grindelia hirsutula,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Grindelia hirsutula var. davyi,Accepted (terminal),Synonym of Grindelia hirsutula,10/12/2020
2.0,Asteraceae,Hieracium gracile,Accepted (terminal),Synonym of Hieracium triste,10/12/2020
2.0,Asteraceae,Hieracium sabaudum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Asteraceae,Hieracium triste,Synonym of Hieracium gracile,Accepted (terminal),10/12/2020
2.0,Asteraceae,Hymenoxys cooperi,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Hymenoxys cooperi var. canescens,Accepted (terminal),Synonym of Hymenoxys cooperi,10/12/2020
2.0,Asteraceae,Jacobaea maritima,Under evaluation,Accepted (terminal),10/12/2020
2.0,Asteraceae,Layia septentrionalis,Excluded,Accepted (terminal),10/12/2020
2.0,Asteraceae,Leontodon saxatilis,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Leontodon saxatilis ssp. saxatilis,Accepted (terminal),Synonym of Leontodon saxatilis,10/12/2020
2.0,Asteraceae,Matricaria suffruticosa,Accepted (terminal),Synonym of Oncosiphon suffruticosum,10/12/2020
2.0,Asteraceae,Oncosiphon suffruticosum,Synonym of Matricaria suffruticosa,Accepted (terminal),10/12/2020
2.0,Asteraceae,Psathyrotes annua,Accepted (terminal),Excluded,10/12/2020
2.0,Asteraceae,Senecio cineraria,Accepted (terminal),Synonym of Jacobaea maritima,10/12/2020
2.0,Asteraceae,Senecio glomeratus,Accepted (terminal),Synonym of Erechtites glomeratus,10/12/2020
2.0,Asteraceae,Senecio minimus,Accepted (terminal),Synonym of Erechtites minimus,10/12/2020
2.0,Asteraceae,Senecio triangularis,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Senecio triangularis var. angustifolius,Accepted (terminal),Synonym of Senecio triangularis,10/12/2020
2.0,Asteraceae,Senecio triangularis var. triangularis,Accepted (terminal),Synonym of Senecio triangularis,10/12/2020
2.0,Asteraceae,Sericocarpus oregonensis,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Asteraceae,Sericocarpus oregonensis ssp. oregonensis,Synonym of Sericocarpus oregonensis,Accepted (terminal),10/12/2020
2.0,Asteraceae,Solidago lepida var. lepida,Accepted (terminal),Synonym of Solidago lepida,10/12/2020
2.0,Asteraceae,Solidago lepida var. salebrosa,Accepted (terminal),Synonym of Solidago lepida,10/12/2020
2.0,Asteraceae,Solidago simplex var. spathulata,Accepted (terminal),Synonym of Solidago spathulata,10/12/2020
2.0,Asteraceae,Solidago spathulata,Synonym of Solidago simplex var. spathulata,Accepted (terminal),10/12/2020
2.0,Asteraceae,Symphyotrichum bracteolatum × Symphyotrichum foliaceum var. parryi,Under evaluation,Accepted (terminal),10/12/2020
2.0,Asteraceae,Tanacetum bipinnatum,Synonym of Tanacetum camphoratum,Accepted (terminal),10/12/2020
2.0,Asteraceae,Tanacetum camphoratum,Accepted (terminal),Synonym of Tanacetum bipinnatum,10/12/2020
2.0,Betulaceae,Alnus alnobetula,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Betulaceae,Alnus alnobetula ssp. sinuata,Under evaluation,Accepted (terminal),10/12/2020
2.0,Betulaceae,Alnus viridis,Accepted (terminal),Synonym of Alnus alnobetula,10/12/2020
2.0,Betulaceae,Alnus viridis ssp. sinuata,Accepted (terminal),Synonym of Alnus alnobetula ssp. sinuata,10/12/2020
2.0,Betulaceae,Betula × utahensis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Betulaceae,Corylus cornuta ssp. californica,Accepted (terminal),Synonym of Corylus cornuta var. californica,10/12/2020
2.0,Betulaceae,Corylus cornuta var. californica,Synonym of Corylus cornuta ssp. californica,Accepted (terminal),10/12/2020
2.0,Blechnaceae,Blechnum spicant,Accepted (terminal),Synonym of Struthiopteris spicant,10/12/2020
2.0,Blechnaceae,Struthiopteris spicant,Synonym of Blechnum spicant,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Amsinckia menziesii,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Boraginaceae,Amsinckia menziesii var. intermedia,Accepted (terminal),Synonym of Amsinckia menziesii,10/12/2020
2.0,Boraginaceae,Amsinckia menziesii var. menziesii,Accepted (terminal),Synonym of Amsinckia menziesii,10/12/2020
2.0,Boraginaceae,Amsinckiopsis kingii,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Boraginaceae,Amsinckiopsis kingii var. kingii,Under evaluation,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Cryptantha circumscissa,Accepted (terminal),Synonym of Greeneocharis circumscissa,10/12/2020
2.0,Boraginaceae,Cryptantha grandiflora,Synonym of Cryptantha intermedia,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Cryptantha humilis,Accepted (terminal),Synonym of Oreocarya humilis,10/12/2020
2.0,Boraginaceae,Cryptantha intermedia,Accepted (not terminal),Ambiguous,10/12/2020
2.0,Boraginaceae,Cryptantha intermedia var. hendersonii,Synonym of Cryptantha intermedia,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Cryptantha intermedia var. intermedia,Synonym of Cryptantha intermedia,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Cryptantha propria,Accepted (terminal),Synonym of Oreocarya propria,10/12/2020
2.0,Boraginaceae,Cryptantha recurvata,Excluded,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Cryptantha sobolifera,Accepted,Ambiguous,10/12/2020
2.0,Boraginaceae,Cryptantha spiculifera,Accepted (terminal),Synonym of Oreocarya spiculifera,10/12/2020
2.0,Boraginaceae,Cryptantha torreyana,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Boraginaceae,Cryptantha torreyana var. torreyana,Synonym of Cryptantha torreyana var. torreyana,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Eremocarya micrantha,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Boraginaceae,Eremocarya micrantha var. micrantha,Under evaluation,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Greeneocharis circumscissa,Synonym of Cryptantha circumscissa,Accepted (not terminal),10/12/2020
2.0,Boraginaceae,Greeneocharis circumscissa var. circumscissa,Synonym of Cryptantha circumscissa,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Hackelia bella,Excluded,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Hackelia hispida,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Boraginaceae,Hackelia hispida var. hispida,Accepted (terminal),Synonym of Hackelia hispida,10/12/2020
2.0,Boraginaceae,Hackelia patens,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Boraginaceae,Hackelia patens var. patens,Accepted (terminal),Synonym of Hackelia patens,10/12/2020
2.0,Boraginaceae,Lappula montana,Accepted (terminal),Synonym of Lappula redowskii,10/12/2020
2.0,Boraginaceae,Lappula redowskii,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Boraginaceae,Lappula redowskii var. cupulata,Accepted (terminal),Synonym of Lappula redowskii,10/12/2020
2.0,Boraginaceae,Lappula redowskii var. redowskii,Accepted (terminal),Synonym of Lappula redowskii,10/12/2020
2.0,Boraginaceae,Mertensia ciliata,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Boraginaceae,Mertensia ciliata var. ciliata,Synonym of Mertensia ciliata,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Mertensia foliosa,Under evaluation,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Mertensia oblongifolia,Accepted,Ambiguous,10/12/2020
2.0,Boraginaceae,Mertensia paniculata var. paniculata,Excluded,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Mertensia platyphylla,Accepted (terminal),Synonym of Mertensia subcordata,10/12/2020
2.0,Boraginaceae,Mertensia subcordata,Synonym of Mertensia platyphylla,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Mertensia umbratilis,Synonym of Mertensia oblongifolia,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Oreocarya glomerata,Under evaluation,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Oreocarya humilis,Synonym of Cryptantha humilis,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Oreocarya interrupta,Under evaluation,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Oreocarya propria,Synonym of Cryptantha propria,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Oreocarya schoolcraftii,Synonym of Cryptantha sobolifera,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Oreocarya sobolifera,Under evaluation,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Oreocarya spiculifera,Under evaluation,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Oreocarya subretusa,Synonym of Cryptantha sobolifera,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Plagiobothrys cognatus,Synonym of Plagiobothrys hispidulus,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Plagiobothrys cusickii,Synonym of Plagiobothrys hispidulus,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Plagiobothrys glyptocarpus,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Boraginaceae,Plagiobothrys glyptocarpus var. glyptocarpus,Synonym of Plagiobothrys glyptocarpus,Accepted (terminal),10/12/2020
2.0,Boraginaceae,Plagiobothrys hispidulus,Accepted (terminal),Ambiguous,10/12/2020
2.0,Boraginaceae,Plagiobothrys kingii,Accepted (not terminal),Synonym of Amsinckiopsis kingii,10/12/2020
2.0,Boraginaceae,Plagiobothrys kingii var. harknessii,Accepted (terminal),Synonym of Amsinckiopsis kingii var. harknessii,10/12/2020
2.0,Boraginaceae,Plagiobothrys kingii var. kingii,Accepted (terminal),Synonym of Amsinckiopsis kingii var. kingii,10/12/2020
2.0,Boraginaceae,Plagiobothrys mollis,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Boraginaceae,Plagiobothrys mollis var. mollis,Synonym of Plagiobothrys mollis,Accepted (terminal),10/12/2020
2.0,Brassicaceae,Boechera rollei,Under evaluation,Accepted (terminal),10/12/2020
2.0,Brassicaceae,Descurainia pinnata,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Brassicaceae,Descurainia pinnata ssp. brachycarpa,Synonym of Descurainia pinnata,Accepted (terminal),10/12/2020
2.0,Brassicaceae,Lepidium pinnatifidum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Brassicaceae,Planodes virginicum,Accepted (terminal),Excluded,10/12/2020
2.0,Brassicaceae,Streptanthus tortuosus,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Brassicaceae,Streptanthus tortuosus ssp. tortuosus,Accepted (terminal),Synonym of Streptanthus tortuosus,10/12/2020
2.0,Butomaceae,Butomus umbellatus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Caprifoliaceae,Symphoricarpos oreophilus var. utahensis,Accepted (terminal),Synonym of Symphoricarpos rotundifolius,10/12/2020
2.0,Caprifoliaceae,Symphoricarpos rotundifolius,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Caprifoliaceae,Symphoricarpos rotundifolius var. rotundifolius,Accepted (terminal),Synonym of Symphoricarpos rotundifolius,10/12/2020
2.0,Caryophyllaceae,Eremogone capillaris var. americana × Eremogone kingii var. glabrescens,Accepted (terminal),Excluded,10/12/2020
2.0,Caryophyllaceae,Sagina alexandrae,Under evaluation,Accepted (terminal),10/12/2020
2.0,Caryophyllaceae,Sagina subulata,Accepted (terminal),Synonym of Sagina alexandrae,10/12/2020
2.0,Celastraceae,Euonymus fortunei,Excluded,Accepted (terminal),10/12/2020
2.0,Cucurbitaceae,Marah fabacea,Under evaluation,Accepted (terminal),10/12/2020
2.0,Cucurbitaceae,Marah watsonii,Under evaluation,Accepted (terminal),10/12/2020
2.0,Cupressaceae,Juniperus chinensis,Excluded,Accepted (terminal),10/12/2020
2.0,Cupressaceae,Taxodium distichum,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Cupressaceae,Taxodium distichum var. distichum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Cyperaceae,Carex agastachys,Under evaluation,Accepted (terminal),10/12/2020
2.0,Cyperaceae,Carex aquatilis var. dives × Carex obnupta,Under evaluation,Accepted (terminal),10/12/2020
2.0,Cyperaceae,Carex mesochorea,Under evaluation,Accepted (terminal),10/12/2020
2.0,Cyperaceae,Schoenoplectus saximontanus,Excluded,Accepted (terminal),10/12/2020
2.0,Ericaceae,Arctostaphylos patula × Arctostaphylos viscida,Under evaluation,Accepted (terminal),10/12/2020
2.0,Euphorbiaceae,Croton setiger,Accepted (terminal),Synonym of Croton setigerus,10/12/2020
2.0,Euphorbiaceae,Croton setigerus,Synonym of Croton setiger,Accepted (terminal),10/12/2020
2.0,Fabaceae,Acmispon nevadensis,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Fabaceae,Acmispon nevadensis var. nevadensis,Excluded,Accepted (terminal),10/12/2020
2.0,Fabaceae,Astragalus cusickii var. sterilis,Accepted (terminal),Synonym of Astragalus sterilis,10/12/2020
2.0,Fabaceae,Astragalus geyeri,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Fabaceae,Astragalus geyeri var. geyeri,Synonym of Astragalus geyeri var. geyeri,Accepted (terminal),10/12/2020
2.0,Fabaceae,Astragalus lentiginosus var. chartaceus,Accepted (terminal),Synonym of Astragalus lentiginosus var. platyphyllidius,10/12/2020
2.0,Fabaceae,Astragalus lentiginosus var. platyphyllidius,Misapplied to Astragalus lentiginosus var. chartaceus,Accepted (terminal),10/12/2020
2.0,Fabaceae,Astragalus multiflorus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Fabaceae,Astragalus sterilis,Synonym of Astragalus cusickii var. sterilis,Accepted (terminal),10/12/2020
2.0,Fabaceae,Astragalus tegetarioides,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Fabaceae,Astragalus tegetarioides var. tegetarioides,Under evaluation,Accepted (terminal),10/12/2020
2.0,Fabaceae,Astragalus tenellus,Accepted (terminal),Synonym of Astragalus multiflorus,10/12/2020
2.0,Fabaceae,Astragalus toanus,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Fabaceae,Astragalus toanus var. toanus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Fabaceae,Hedysarum boreale,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Fabaceae,Hedysarum boreale var. boreale,Accepted (terminal),Synonym of Hedysarum boreale,10/12/2020
2.0,Fabaceae,Hedysarum boreale var. mackenzii,Accepted (terminal),Synonym of Hedysarum boreale,10/12/2020
2.0,Fabaceae,Lathyrus odoratus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Fabaceae,Lupinus biddlei,Accepted (terminal),Synonym of Lupinus polyphyllus var. prunophilus,10/12/2020
2.0,Fabaceae,Lupinus polycarpus,Accepted (terminal),Synonym of Lupinus bicolor,10/12/2020
2.0,Fabaceae,Thermopsis montana var. montana,Synonym of Thermopsis rhombifolia var. montana,Accepted (terminal),10/12/2020
2.0,Fabaceae,Thermopsis montana var. ovata,Synonym of Thermopsis rhombifolia var. ovata,Accepted (terminal),10/12/2020
2.0,Fabaceae,Thermopsis rhombifolia,Accepted (not terminal),Synonym of Thermopsis montana,10/12/2020
2.0,Fabaceae,Thermopsis rhombifolia var. montana,Accepted (terminal),Synonym of Thermopsis montana var. montana,10/12/2020
2.0,Fabaceae,Thermopsis rhombifolia var. ovata,Accepted (terminal),Synonym of Thermopsis montana var. ovata,10/12/2020
2.0,Fabaceae,Trifolium appendiculatum,Synonym of Trifolium appendiculatum,Accepted (terminal),10/12/2020
2.0,Fabaceae,Vicia americana,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Fabaceae,Vicia americana var. americana,Accepted (terminal),Synonym of Vicia americana,10/12/2020
2.0,Fabaceae,Vicia faba,Under evaluation,Accepted (terminal),10/12/2020
2.0,Grossulariaceae,Ribes hudsonianum,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Grossulariaceae,Ribes hudsonianum var. petiolare,Accepted (terminal),Synonym of Ribes hudsonianum,10/12/2020
2.0,Gunneraceae,Gunnera tinctoria,Under evaluation,Accepted (terminal),10/12/2020
2.0,Heliotropiaceae,Heliotropium curassavicum var. curassavicum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Heliotropiaceae,Heliotropium curassavicum var. oculatum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Hydrophyllaceae,Emmenanthe penduliflora,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Hydrophyllaceae,Emmenanthe penduliflora var. penduliflora,Under evaluation,Accepted (terminal),10/12/2020
2.0,Hypericaceae,Hypericum concinnum,Excluded,Accepted (terminal),10/12/2020
2.0,Lamiaceae,Clinopodium douglasii,Synonym of Satureja douglasii,Accepted (terminal),10/12/2020
2.0,Lamiaceae,Clinopodium vulgare,Synonym of Satureja vulgaris,Accepted (terminal),10/12/2020
2.0,Lamiaceae,Lamium purpureum,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Lamiaceae,Lamium purpureum var. incisum,Accepted (terminal),Synonym of Lamium purpureum,10/12/2020
2.0,Lamiaceae,Lamium purpureum var. purpureum,Accepted (terminal),Synonym of Lamium purpureum,10/12/2020
2.0,Lamiaceae,Pycnanthemum californicum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Lamiaceae,Rosmarinus officinalis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Lamiaceae,Satureja douglasii,Accepted (terminal),Synonym of Clinopodium douglasii,10/12/2020
2.0,Lamiaceae,Satureja vulgaris,Accepted (terminal),Synonym of Clinopodium vulgare,10/12/2020
2.0,Lamiaceae,Stachys pilosa,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Lamiaceae,Stachys pilosa var. pilosa,Accepted (terminal),Synonym of Stachys pilosa,10/12/2020
2.0,Liliaceae,Lilium columbianum × Lilium pardalinum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Linnaeaceae,Linnaea borealis ssp. longiflora,Synonym of Linnaea borealis var. longiflora,Accepted (terminal),10/12/2020
2.0,Linnaeaceae,Linnaea borealis var. longiflora,Accepted (terminal),Synonym of Linnaea borealis ssp. longiflora,10/12/2020
2.0,Lythraceae,Lythrum hyssopifolia,Synonym of Lythrum hyssopifolium,Accepted (terminal),10/12/2020
2.0,Lythraceae,Lythrum hyssopifolium,Accepted (terminal),Synonym of Lythrum hyssopifolia,10/12/2020
2.0,Malvaceae,Sidalcea hirsuta,Under evaluation,Accepted (terminal),10/12/2020
2.0,Melanthiaceae,Trillium cuneatum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Montiaceae,Calandrinia ciliata,Accepted (terminal),Synonym of Calandrinia menziesii,10/12/2020
2.0,Montiaceae,Calandrinia menziesii,Under evaluation,Accepted (terminal),10/12/2020
2.0,Montiaceae,Claytonia lanceolata,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Montiaceae,Claytonia lanceolata var. sessilifolia,Synonym of Claytonia lanceolata,Accepted (terminal),10/12/2020
2.0,Moraceae,Fatoua villosa,Under evaluation,Accepted (terminal),10/12/2020
2.0,Namaceae,Nama aretioides,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Namaceae,Nama aretioides var. aretioides,Synonym of Nama aretioides,Accepted (terminal),10/12/2020
2.0,Namaceae,Nama densa,Under evaluation,Accepted (terminal),10/12/2020
2.0,Namaceae,Nama densum,Accepted (not terminal),Ambiguous,10/12/2020
2.0,Namaceae,Nama densum var. densum,Accepted (terminal),Synonym of Nama densa,10/12/2020
2.0,Namaceae,Nama densum var. parviflorum,Accepted (terminal),Synonym of Nama parviflora,10/12/2020
2.0,Namaceae,Nama parviflora,Under evaluation,Accepted (terminal),10/12/2020
2.0,Nyctaginaceae,Abronia umbellata ssp. breviflora,Synonym of Abronia umbellata var. breviflora,Accepted (terminal),10/12/2020
2.0,Nyctaginaceae,Abronia umbellata var. breviflora,Accepted (terminal),Synonym of Abronia umbellata ssp. breviflora,10/12/2020
2.0,Nyctaginaceae,Mirabilis greenei,Excluded,Accepted (terminal),10/12/2020
2.0,Onagraceae,Chamaenerion latifolium,Under evaluation,Accepted (terminal),10/12/2020
2.0,Onagraceae,Chamerion latifolium,Accepted (terminal),Synonym of Chamaenerion latifolium,10/12/2020
2.0,Orobanchaceae,Aphyllon californicum,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon californicum ssp. californicum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon californicum ssp. grayanum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon corymbosum,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon corymbosum ssp. corymbosum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon corymbosum ssp. mutabile,Under evaluation,Accepted (terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon epigalium,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon epigalium ssp. epigalium,Under evaluation,Accepted (terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon fasciculatum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon ludovicianum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon pinorum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Orobanchaceae,Aphyllon purpureum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Orobanchaceae,Orobanche californica,Accepted (not terminal),Synonym of Aphyllon californicum,10/12/2020
2.0,Orobanchaceae,Orobanche californica ssp. californica,Accepted (terminal),Synonym of Aphyllon californicum ssp. californicum,10/12/2020
2.0,Orobanchaceae,Orobanche californica ssp. grayana,Accepted (terminal),Synonym of Aphyllon californicum ssp. grayanum,10/12/2020
2.0,Orobanchaceae,Orobanche californica ssp. jepsonii,Accepted (terminal),Synonym of Aphyllon californicum ssp. jepsonii,10/12/2020
2.0,Orobanchaceae,Orobanche corymbosa,Accepted (not terminal),Synonym of Aphyllon corymbosum,10/12/2020
